dept,siren,epci_nom,i005,i006,i010,i012,i015,i017,i032,i033,i034,i035,i036,i037,i038,i043,i044,i047,i048,i049,i051,i052,i053,i054,i056,i057,i058,i064,i065,i066,i067,i068,i069,i070,i071,i072,i073,i077,i083,i084,i085,i086,i087,i089,i094,i095,i096,i097,i106,i108,i110,i111,i112,i113,i114,i115,i119,i126,i127,i128,i129,i130,i131,i134,i135,i142,i147,i148,i149,i150,i151,i156,i157,i158,i161,i162,i164
51,245100979,CC du Sud Marnais,0.0,98.38,54.17,49.65,57.12,0.0,50.0,43.38,34.27,100.0,61.94,56.15,33.72,35.64,50.38,2.14,0.0,42.64,31.99,32.26,0.0,0.0,0.0,6.24,0.0,20.0,0.0,86.06,9.12,50.37,74.28,52.78,0.0,50.0,0.0,78.68,21.16,10.29,0.0,0.0,100.0,23.2,35.97,100.0,0.0,29.11,1.75,26.16,0.0,100.0,0.0,100.0,0.0,0.0,69.23,66.29,44.32,26.49,34.81,25.33,48.07,46.43,0.0,66.56,4.43,18.91,100.0,0.0,70.11,50.0,7.04,90.43,46.0,52.14,43.06
52,200027308,CC d'Auberive Vingeanne et Montsaugeonnais,0.0,0.0,51.39,87.66,29.55,0.0,75.0,38.97,34.27,40.67,0.0,88.85,24.42,43.09,62.75,0.0,0.0,39.57,29.58,37.1,0.0,0.1,0.0,4.57,5.12,0.0,0.0,24.04,14.49,13.33,31.86,44.02,75.13,100.0,0.0,87.94,49.76,27.35,0.96,0.0,68.67,19.2,52.69,100.0,0.0,48.61,28.07,11.39,0.0,96.55,8.81,100.0,57.47,5.86,69.23,64.77,60.23,58.28,60.24,40.33,100.0,53.57,21.99,39.87,0.0,33.36,0.0,0.0,67.82,100.0,2.79,78.37,0.0,33.93,52.61
52,200044253,CC du Bassin de Joinville en Champagne,0.0,51.03,51.39,73.24,55.35,0.0,50.0,42.65,25.84,84.67,41.85,5.0,2.33,31.27,37.75,3.37,0.0,39.88,32.33,0.0,0.0,0.2,18.29,2.76,64.43,33.33,0.0,42.86,21.94,59.26,35.3,44.02,74.87,0.0,18.96,87.87,37.42,33.97,0.0,0.0,19.75,19.2,31.98,100.0,50.0,50.33,15.79,27.22,0.0,93.39,0.0,100.0,37.53,0.0,69.23,61.35,26.52,26.82,46.72,0.0,72.78,48.21,3.92,70.18,33.9,7.27,0.0,0.0,67.82,50.0,3.59,53.26,0.0,33.93,37.97
52,200068658,CA de Chaumont,34.99,48.9,51.39,48.72,44.03,0.0,75.0,45.96,37.92,100.0,100.0,0.0,47.67,47.45,35.73,49.17,53.39,40.8,40.93,22.58,0.0,0.6,65.06,17.75,7.07,26.67,0.0,46.57,17.56,47.41,50.04,44.02,71.43,100.0,25.59,80.56,33.12,56.47,41.99,0.0,40.53,19.2,48.16,36.67,100.0,51.11,100.0,55.7,0.0,95.3,12.72,99.94,37.88,0.0,53.85,50.14,48.11,52.98,22.62,95.67,100.0,50.0,39.56,100.0,17.62,51.8,0.0,0.0,65.52,100.0,25.63,67.72,0.0,33.93,42.71
52,200068666,CA du Grand Saint-Dizier Der et Vallées,42.96,100.0,55.56,83.82,14.34,23.74,50.0,42.94,40.73,100.0,100.0,0.0,33.14,48.55,37.37,65.58,38.71,47.55,30.27,27.42,0.0,0.4,31.95,13.23,100.0,0.0,92.86,37.75,36.89,59.26,24.98,44.02,78.31,0.0,100.0,83.09,25.77,51.76,17.63,0.0,28.49,19.2,37.08,36.67,100.0,48.26,100.0,53.59,0.0,93.28,0.0,85.14,47.12,0.0,61.54,58.12,32.58,36.09,23.03,41.0,39.97,50.0,1.51,100.0,54.67,54.61,0.0,0.0,65.52,0.0,19.79,46.3,22.0,33.93,35.19
52,200069664,CC Meuse Rognon,91.15,0.0,51.39,59.15,34.75,0.0,75.0,43.53,25.0,58.0,8.72,0.0,29.65,35.82,53.66,0.0,0.0,38.34,25.11,0.0,0.0,0.0,20.33,2.38,0.0,26.67,0.0,56.33,11.37,8.89,10.57,44.02,83.6,100.0,100.0,91.62,37.88,30.0,8.33,0.0,60.05,19.2,42.18,47.22,0.0,48.36,0.0,0.0,0.0,95.34,5.27,100.0,55.12,0.0,69.23,62.49,47.73,51.32,59.97,33.0,82.28,53.57,29.72,59.31,0.0,32.11,0.0,0.0,68.97,50.0,14.74,67.28,0.0,33.93,52.32
52,200070332,CC des Savoir-Faire,44.52,0.0,50.0,62.26,36.55,36.01,75.0,35.29,19.94,0.0,0.0,44.62,16.86,38.36,47.98,0.0,0.0,37.12,30.78,0.0,0.0,0.0,0.0,6.35,0.0,0.0,94.64,43.79,12.52,17.78,18.92,44.02,65.87,50.0,58.51,87.15,36.83,56.03,27.88,0.0,21.31,19.2,40.47,21.94,0.0,47.95,100.0,36.71,0.0,93.34,2.57,88.64,68.71,32.86,69.23,57.74,43.56,42.38,52.61,79.33,95.64,51.79,55.02,65.73,0.0,20.34,0.0,0.0,70.11,100.0,1.46,69.02,0.0,33.93,50.77
52,200072999,CC du Grand Langres,0.0,0.0,51.39,87.63,63.3,0.0,75.0,42.28,30.62,88.0,100.0,36.54,34.88,42.91,39.02,24.02,14.29,41.72,32.16,17.74,0.0,0.3,56.12,11.42,14.76,0.0,0.0,56.33,17.56,85.19,58.89,44.02,25.13,50.0,75.91,79.36,46.69,30.44,0.0,0.0,21.25,19.2,45.06,73.89,0.0,65.16,0.0,46.2,0.0,92.4,6.72,100.0,59.5,13.0,69.23,57.55,49.62,37.75,42.57,100.0,100.0,50.0,54.82,100.0,5.48,54.95,0.0,0.0,66.67,50.0,17.13,72.39,0.0,33.93,51.26
52,245200597,CC des Trois Forêts,39.42,0.0,51.39,76.07,19.51,0.0,75.0,44.12,33.99,25.33,0.0,0.0,35.47,39.09,52.65,0.0,0.0,47.85,23.9,0.0,0.0,0.0,2.21,3.63,0.0,6.67,0.0,30.31,6.87,9.26,0.0,44.02,100.0,100.0,64.3,92.76,40.52,52.79,66.35,0.0,0.0,19.2,39.36,80.83,0.0,35.66,77.19,18.78,0.0,96.6,7.44,75.33,30.5,0.0,92.31,67.05,54.17,49.01,54.08,96.67,100.0,51.79,47.79,26.69,0.0,35.34,0.0,0.0,68.97,100.0,9.16,83.8,0.0,33.93,52.48
53,200033298,CC des Coëvrons,61.11,84.75,18.06,77.35,85.49,0.0,75.0,47.43,44.94,84.0,0.0,83.08,28.49,37.82,53.91,20.25,0.0,44.17,31.64,16.13,0.0,0.2,1.29,4.48,64.7,0.0,0.0,36.12,0.85,38.15,0.0,23.29,0.0,50.0,75.3,59.53,25.16,25.15,0.0,0.0,17.54,43.38,49.72,60.0,0.0,50.54,0.0,34.6,0.0,95.79,6.77,100.0,70.26,2.57,53.85,67.43,50.76,65.89,19.14,84.33,41.82,53.57,52.41,77.43,40.57,24.48,100.0,86.31,71.26,50.0,42.63,82.28,36.0,48.57,43.19
53,200042182,CC du Mont des Avaloirs,89.05,100.0,31.94,,84.7,0.0,75.0,50.0,33.71,45.33,0.0,0.0,9.88,32.91,55.18,0.0,0.0,34.36,28.72,0.0,0.0,0.2,7.21,1.82,100.0,0.0,41.07,26.6,1.4,19.63,0.0,23.29,0.0,0.0,100.0,55.81,29.98,19.26,39.1,0.0,14.77,43.38,49.08,73.89,0.0,54.92,0.0,38.82,0.0,98.64,4.36,100.0,69.62,0.0,61.54,62.49,45.08,56.29,34.54,42.67,75.97,51.79,38.25,74.46,43.05,39.4,0.0,19.79,71.26,50.0,35.72,85.76,0.0,48.57,48.55
