dept,siren,epci_nom,i005,i006,i010,i012,i015,i017,i032,i033,i034,i035,i036,i037,i038,i043,i044,i047,i048,i049,i051,i052,i053,i054,i056,i057,i058,i064,i065,i066,i067,i068,i069,i070,i071,i072,i073,i077,i083,i084,i085,i086,i087,i089,i094,i095,i096,i097,i106,i108,i110,i111,i112,i113,i114,i115,i119,i126,i127,i128,i129,i130,i131,i134,i135,i142,i147,i148,i149,i150,i151,i156,i157,i158,i161,i162,i164
17,241700459,CC de l'Ile de Ré,,,6,,,0,3,39,"21,4","61,3","10,11","9,04","2,2","25,7","12,3",4,"9,16","14,6","70,2","-3,4","35,9","2,7","3,74489967022525","45,0661311543522","8,17892156862745","4,3","7,3","5,03","108,8","11,7","60,4","2,85","17,4",0,"32,1425529397847","1,08266037754843","87,1882210746072","77,2","6,8",161,"7,02","65,29","5,87125139066299","11,74",2,"3,16613787135852","8,3",5,"-15,450643776824","11,46","18,73","16,73","13,291","13,86",5,34,"9,1","16,8","53,9","96,7","40,91","3,7","2,18","110,3","10,8","27,3","0,559","1096,583",56,0,"37,7","0,942",267,"19,7","19,14"
17,241700517,CC Coeur de Saintonge,,,46,,,"180,74554461083",2,"31,6666666666667",15,"6,7","0,39",0,8,"31,4","24,9","10,45","11,77","15,1","88,7","1,2","35,9666666666667","1,2","0,394033211370673","28,3177948925821","0,997645211930926","2,9","0,03","1,13","108,5","24,7","40,5","2,85","15,9",0,"8,25176746400967","0,737071552651381","38,7533431581246","66,6","13,8",114,"26,91","65,29","5,01855488939425","2,25",0,"4,46807525325615",-1,"62,3","-31,7848410757946",100,"4,76","76,405","2,586","8,79",4,"28,3","11,3","13,8","51,7","75,5","25,89","2,6","-5,51","44,9","14,33","17,33","1,126","648,982",60,0,"19,6","0,79",102,"19,7","14,22"
17,241700624,CC de l'Ile d'Oléron,,,6,,,"12,036531116603",2,"26,6666666666667","22,8",62,"6,36","15,69","2,5","28,2","12,8","6,65","6,35","18,3","80,5","-1,4","34,9","1,6","0,399680255795364","37,8729162822169","8,01521523998021","3,1",0,"4,44","147,5","30,6","33,6","2,85","24,7",0,"44,2333507216136","0,948145550210717","69,8995194408038","77,6",5,160,"15,38","65,29","6,39786933379898","16,88",2,"4,03535696500521","15,8",13,"-24,7148288973384","27,1","24,76","15,175","8,64","18,97",5,"39,6",13,"25,1","50,3",77,"47,38","3,1","-3,13","106,8","9,5","43,63","0,888","245,085",50,0,"23,7","0,756",258,"19,7","19,82"
17,241700632,CC de Gémozac et de la Saintonge Viticole,,,44,,,"51,9766904519198",1,"35,75",16,"9,1","0,29",0,"8,6","27,9","23,1","13,78","10,65","16,2","91,3","2,9","36,05","1,2","1,55342428745103","28,3160042755806","0,0334591194968553","3,6",0,"2,03","127,1","23,5","35,9","2,85","16,9",0,"2,04133539319492","0,807086883579868","38,7417218543046","61,3","8,1",119,"19,46","65,29","5,91622271825397","13,51",0,"5,63930555555556","-1,7","64,7","-28,0612244897959","78,38","1,62","71,071","5,704","8,18",5,"29,6",12,"16,4","45,3","65,9","21,07","2,6","-5,27","50,4","8,25","19,5",0,"104,636",57,0,18,"0,712",122,"19,7","17,33"
17,241700640,CA Royan Atlantique,,,37,,,"101,833683198274",2,"34,6","17,8",43,"5,39","34,73","4,2",23,31,"2,92","3,05","16,3","83,9","-1,8","36,05","1,7","4,92919358392967","41,9031131266087","4,32732029366645",3,0,"3,71","112,6","34,8","57,1","2,85","18,6",1,"39,9202899582722","0,952023295927236","55,7824212573795","77,8","10,6",183,"8,35","65,29","6,26793122641137","7,77",1,"4,22113060522613","-2,3","17,9","-19,8430493273543","61,49","4,69","42,859","3,731","12,93",5,"40,3","11,6","20,2","42,6","84,3","31,47",3,"-4,7","100,7","8,21","12,97","0,812","287,443",55,0,22,"0,862",306,"19,7","16,44"
17,241700699,CC du Bassin de Marennes,,,44,,,0,2,"31,5","18,2","17,2","3,7","1,12","7,7","32,5","25,8","6,29","6,05","19,4","84,7","-1,1","34,9","1,2","0,515397500322124","30,5252822778596","3,64846957820082","3,3","0,06","3,22","120,3","30,5","39,5","2,85","4,7",0,"69,2977704464428","0,511789027099334","44,1723985612419","68,9","8,9",137,9,"65,29","6,57786065968238","9,02",3,"5,33577351645504","9,5","17,6","-37,1824480369515","93,32","0,32","35,854","1,001","19,99",5,"35,5","12,8","20,7","51,8",71,"29,12","2,6","-2,35","79,1","7,5","22,17","1,933","750,3",59,0,"17,8","0,558",182,"19,7","16,89"
18,200000933,CC Sauldre et Sologne,,,53,,,"60,3693918590944",1,35,"25,1","13,5","12,85","-3,27","12,9","35,2","38,1","19,75","32,29","20,4","83,4","3,6","33,6333333333333","0,7","0,627833972793861","24,0575243965075","4,02409308692676","2,6","5,7","3,49","87,2",2,"29,3","3,12","50,5",4,"50,844731845009","0,165813979515195","38,8022800631825","46,8","26,2",135,"11,66","50,99","7,013905884426","0,7",1,"5,84369218118276","-8,5",46,"-25,9398496240602",100,"3,04","32,621","2,255","11,32",8,"40,9",13,"18,8","54,9","65,9","29,65","2,7","-6,7","96,5","11,86","31,64",0,"221,825",53,1,"18,4","0,116",167,16,"13,36"
18,200007177,CC Pays de Nérondes,,,60,,,"79,5344937380599",1,34,"24,5","13,9","7,23","-3,07","14,1",37,"36,1","26,77","43,87","19,6","85,5","2,1","30,05","0,6","0,861326442721792","19,856303069889",0,1,"14,64","4,31","99,4","8,5","11,7","3,12","7,5",0,"0,0088881897195894","0,145236479964462","38,7596899224806","70,8","8,3",131,"36,17","50,99","7,17754599789054",,0,"5,82054963084496","-2,9","73,7","-4,04040404040404","98,95","4,42","71,243","1,54","10,13",4,"38,8","16,9","19,3","54,6","55,5","30,58","2,8","-5,97","52,8","22,92","32,33",0,"257,7",58,0,"14,7","0,406",130,16,"14,98"
18,200011781,CC Portes du Berry entre Loire et Val d'Aubois,,,65,,,"48,086414536235",1,"30,5","24,4","7,9","6,96","-2,22","14,3","33,7","39,3","17,13","22,44","20,4",89,"2,2",30,"0,9","0,105507491031863","25,2766710934042","2,47786537295331",1,"2,33","3,17","98,9","18,7","17,5","3,12","34,3",0,"4,22008811785763","0,267072428579175","33,3713338169759","61,2","19,6",123,"2,63","50,99","5,92816108950567","1,06",0,"4,92961391160335","2,3","50,4","-26,9230769230769","96,88","2,79","46,271","1,105","15,09",7,"36,3","14,5","15,5","46,4","64,4","22,47","2,7","-3,84","43,9","16,33","19,33",0,"20,728",54,0,"21,9","0,324",123,16,"14,1"
18,200027076,CC Arnon Boischaut Cher,,,58,,,"122,561129316864",3,"32,75","26,2","10,6","4,55","-1,15","14,9","42,3","33,7","25,37","51,78","21,1","84,7","1,4","30,1","1,1","0,509229789942712","22,8340675477239",0,"1,9","0,09","3,82","65,6","9,3","27,6","3,12","25,5",0,"5,23267014053371","0,238715288000839","35,4601073791984","64,6","9,7",128,"15,48","50,99","6,48449120580875","3,82",1,"6,31704909943252","-2,8","59,8","-32,7731092436975","97,27","8,61","57,422","1,607","10,74",7,"38,8","14,1","19,4","55,5","58,7","30,43","2,8","-3,61","61,5","19,72","22,39",0,"394,556",55,0,"19,2","0,373",145,16,"13,64"
