ID_indicateurs,Libellé_indicateurs,Type_Sources,Question à choix unique,Unités_indicateurs,Valeur_min_controle,Valeur_max_controle,Type de bornage,Coef K,Valeur-borne Score=0,Valeur-borne Score=100,Justif Score=0,Justif Score=100,Valeur médiane,Commentaire Valeur médiane,Valeur-intermédiaire Score=20,Valeur-intermédiaire Score=33,Valeur-intermédiaire Score=40,Valeur-intermédiaire Score=50,Valeur-intermédiaire Score=60,Valeur-intermédiaire Score=66,Valeur-intermédiaire Score=80
i058,Nombre de kilomètres d'aménagements cyclables par km2 urbanisé,Donnée ouverte,Non,km/km2 urbanisé,0,/,Mixte,,0,"10,1",Pire valeur possible. Cas de 22 intercos hexagonales,2x la valeur médiane,"5,06",Médiane France selon traitement des données ,,,,,,,
i059,Identification d'un agent-référent sur les enjeux de mobilité,Donnée interne,Oui,/,/,/,Absolu,,Non,Oui,,,-,,en cours,"Oui, 1/4 ETP ou moins",,,,"Oui, 1/2 ETP",
i060,Identification d'un élu référent sur les enjeux de mobilité,Donnée interne,Oui,/,/,/,Absolu,,Non,Oui,,,,,en cours,,,,,,
i061,Identification d'un agent-référent sur les enjeux de santé,Donnée interne,Oui,/,/,/,Absolu,,Non,Oui,,,-,,en cours,"Oui, 1/4 ETP ou moins",,,,"Oui, 1/2 ETP",
i062,Identification d'un élu référent sur  les enjeux de santé,Donnée interne,Oui,/,/,/,Absolu,,Non,Oui,,,,,en cours,,,,,,
i063,Existence d'un Contrat Local de Santé à jour et en cours de mise en oeuvre,Donnée interne,Oui,/,/,/,Absolu,,Non,"Oui, à jour et mis en oeuvre",,,,,Non mais en cours d'élaboration,"Oui, mais pas à jour et non mis en oeuvre","Oui, à jour mais pas ou peu mis en oeuvre ;",,"Oui, mis en oeuvre mais plus à jour",,"Oui, mis en oeuvre et en cours de révision"
i064,Accessibilité potentielle localisée (APL) aux médecins généralistes de 65 ans et moins,Donnée ouverte,Non,/ an / hab.,0,/,Absolu,,"2,5",4,"Selon la DREES, un territoire est dit sous-doté (et qualifié de ""désert médical"") si son APL est inférieur ou égal à 2,5 C/an/hab","Selon la DREES, un territoire est considéré comme bien doté si son APL excède 4 C/an/hab","2,7",Médiane   ,,,,,,,
i065,Part de la population éloignée de plus de 20 minutes d'au moins un des 5 services de santé de proximité,Donnée ouverte,Non,%,0,100,Mixte,,"1,58",0,2x la valeur médiane,"Objectif absolu, et valeur observée sur de nombreux territoires","0,79","Médiane fr métropolitaine 2023 : 0,79%, selon ODDetT (intégrant la Guyane)",,,,,,,
i066,Densité d’officines de Pharmacie,Donnée ouverte,Non,/ 10 000 hab,0,10000,Mixte,,0,"3,7",Pire valeur possible,Valeur dernier quantile. a modifier,,,,,,,,,
i067,Accessibilité potentielle localisée (APL) aux infirmiers de 65 ans et moins,Donnée ouverte,Non,/ 100 000 hab,0,100000,Mixte,,0,245,Pire valeur possible,2x la valeur médiane,"122,5",Médiane France 2023,,,,,,,
i068,Accessibilité potentielle localisée (APL) aux sage-femmes de 65 ans et moins,Donnée ouverte,Non,/ 100 000 hab,0,100000,Mixte,,0,36,Pire valeur possible,2x la valeur médiane,18,Médiane France 2023,,,,,,,
i069,Accessibilité Potentielle Localisée aux Chirurgiens-Dentistes de 65 ans et moins,Donnée ouverte,Non,/ 100 000 hab,0,100000,Mixte,,0,"81,8",Pire valeur possible,2x la valeur médiane,"40,9",Médiane France 2023,,,,,,,
i070,Taux d’équipement en Médecine-Chirurgie-Obstétrique (nombre de lits / places),Donnée ouverte,Non,/ 1 000 hab,0,100,Mixte,,0,"5,3",Pire valeur possible,2x la valeur médiane,"2,66","Médiane France 2024, Sirsé. Echelon arrondissement départemental.",,,,,,,
i071,Part des forêts et milieux semi-naturels sur la surface totale du territoire,Donnée ouverte,Non,%,0,100,Mixte,,0,"50,4",Pire valeur possible,2x la médiane,"25,2",Médiane France,,,,,,,
