ID_indicateurs,Libellé_indicateurs,Type_Sources,Question à choix unique,Unités_indicateurs,Valeur_min_controle,Valeur_max_controle,Type de bornage,Coef K,Valeur-borne Score=0,Valeur-borne Score=100,Justif Score=0,Justif Score=100,Valeur médiane,Commentaire Valeur médiane,Valeur-intermédiaire Score=20,Valeur-intermédiaire Score=33,Valeur-intermédiaire Score=40,Valeur-intermédiaire Score=50,Valeur-intermédiaire Score=60,Valeur-intermédiaire Score=66,Valeur-intermédiaire Score=80
i123,"Existence d'un document-cadre en matière de résilience numérique (shéma directeur, PCA...) à jour et mis en oeuvre",Donnée interne,Oui,/,/,/,Absolu,,Non,"Oui, à jour et mis en oeuvre",,,,,Non mais en cours d'élaboration,"Oui, mais pas à jour et non mis en oeuvre","Oui, à jour mais pas ou peu mis en oeuvre ;",,"Oui, mis en oeuvre mais plus à jour",,"Oui, mis en oeuvre et en cours de révision"
i124,Existence d'une Convention Territoriale Globale (CTG) comprenant une analyse des besoins sociaux à jour et en cours de mise en oeuvre,Donnée interne,Oui,/,/,/,Absolu,,Non,"Oui, à jour et mis en oeuvre",,,,,Non mais en cours d'élaboration,"Oui, mais pas à jour et non mis en oeuvre","Oui, à jour mais pas ou peu mis en oeuvre ;",,"Oui, mis en oeuvre mais plus à jour",,"Oui, mis en oeuvre et en cours de révision"
i125,Reconnaissance de l'engagement de l'Office de Tourisme dans la transition écologique,Donnée interne,Oui,/,/,/,Absolu,,Non,"Oui, reconnaissance formelle par un label ou une certification",,,-,,En réflexion,En cours d'engagement,,Engagement actif dans un réseau structurant ayant une action spécifique sur le tourisme durable ,,,Engagement actif dans un réseau et en cours d'obtention d'une reconnaissance formelle par un label ou une certification
i126,Part des ménages d'une seule personne,Donnée ouverte,Non,%,0,100,Relatif,,"70,2","17,55",2x la médiane,"0,5x la médiane","35,1",Médiane France 2025,,,,,,,
i127,Taux de pauvreté,Donnée ouverte,Non,%,0,100,Mixte,,"26,4",0,2x la valeur médiane,Valeur-cible absolue,"13,2",Médiane France 2021,,,,,,,
i128,Part des jeunes (15-24 ans) non insérés,Donnée ouverte,Non,%,0,100,Mixte,,"30,2",0,Soit 2x la médiane nationale,cible absolue,"15,1",Médiane france 2022,,,,,,,
i129,Taux de participation aux élections municipales 2020,Donnée ouverte,Non,%,0,100,Absolu,,0,100,Pire valeur possible,Cible absolue,,,,,,,,,
i130,Taux de couverture accueil jeune enfant pour 100 enfants de moins de 3 ans,Donnée ouverte,Non,%,0,100,Absolu,,50,80,"Proposition expert Espelia, traduisant une offre très limitée et des contraintes fortes sur les parents","Objectif-cible se rapprochant d’un « droit réel » à une place d’accueil pour tous les enfants, tout en tenant comptes des réalités démographiques et des préférences des familles","60,3",Moyenne France 2022 selon la Sécurité Sociale,,,,,,,
i131,Nombre d'associations pour 1000 habitants,Donnée ouverte,Non,/ 1 000 hab,0,1000,Mixte,,0,"63,2",pire score possible,2x la médiane,"31,6","Médiane du nb d'asso pour 1000 hab à l'échelle des départements : 31,61. Source Data-caf

NB :nombre moyen d'associations pour 1000 habitants à l'échelle nationale est de 20,5. 
Le nombre moyen par régions va de 18 à 28",,,,,,,
i132,Nombre de structures de l’animation de la vie sociale agréée par la CAF (Centre social ou Espace de vie sociale) à l'échelle intercommunale pour 100.000 habitants,Donnée interne,Non,/ 100 000 hab,0,100000,Mixte,,0,"11,2",Pire valeur possible,Suggestion : 2x la moyenne nationale,"5,6","Moyenne approximative du nombre de structures pour 100 k hab. 
Recensement national de 2398 centres sociaux et 1727 EVS en France.",,,,,,,
i133,Nombre d'événements grand public festifs et fédérateurs organisés ou soutenus par la collectivité par an pour 100.000 habitants,Donnée interne,Non,/ 100 000 hab,0,100000,Absolu,,0,4,,Suggestion à affiner.,,,,,,,,,
i134,Rapport interdécile du niveau de vie (9e décile / 1er décile),Donnée ouverte,Non,/,0,50,Mixte,,"5,6",0,2x la médiane,Valeur cible absolue,"2,8","Médiane France 2021, Insee",,,,,,,
i135,Différence entre le taux d'emploi des femmes et des hommes,Donnée ouverte,Non,/,-100,100,Mixte,,-11,0,Soit 2x la moyenne nationale,Valeur-cible absolue,"-5,5","moyenne fr (ODDetT) : -5,5",,,,,,,
i136,Nombre de travailleurs sociaux pour 100 allocataires du RSA,Donnée interne,Non,/ 100 allocataires,0,/,Absolu,,"0,325","1,25","Bornage absolu. 0,3125 travailleur social pour 100 allocataires","Bornage absolu. 1,25 travailleur social pour 100 allocataires. Source Espelia",,,,,,,,,
i137,Part des communes de plus de 1000 habitants ayant totalement mis en oeuvre leur Plan de mise en accessibilité de la voirie et des aménagements des espaces publics (PAVE),Donnée interne,Non,%,0,100,Absolu,,0,100,,"Valeur-cible absolue, respect de la réglementation",,,,,,,,,
i138,Part des femmes dans l'exécutif communautaire,Donnée interne,Non,%,0,100,Absolu,,0,50,,Valeur-cible absolue d'égalité 50%/50% dans la réparatition des mandats à l'échelle intercommunale,,,,,,,,,
i139,Identification d'un agent-référent sur les enjeux de cohésion sociale,Donnée interne,Oui,/,/,/,Absolu,,Non,Oui,,,-,,en cours,"Oui, 1/4 ETP ou moins",,,,"Oui, 1/2 ETP",
i140,Identification d'un élu-référent sur les enjeux de cohésion sociale,Donnée interne,Oui,/,/,/,Absolu,,Non,Oui,,,,,en cours,,,,,,
i141,Inventaire des zones humides,Donnée interne,Oui,/,/,/,Absolu,,Non,"Oui, à jour",,,,,Non mais en cours d'élaboration,"Oui, mais pas à jour ",,"Oui, et en cours de révision",,"Oui, et en cours de révision",
i142,Taux de concentration de l'emploi,Donnée ouverte,Non,%,0,100,Mixte,,0,100,Problème : la valeur peut s'éloigner dans les 2 directions >100 et <100,"Objectif-cible : équilibre entre le nombre d’emplois total proposés sur un territoire et le nombre d'actifs occupés, favorable à l'économie présentielle","98,1","Médiane France 2022 : 98,1",,,,,,,
i143,Existence d'une recyclerie ou ressourcerie intercommunale (avec un soutien ou une implication de l'EPCI dans la gouvernance-gestion de l'équipement),Donnée interne,Oui,/,/,/,Absolu,,Non,"Oui, recyclerie fonctionnelle, collectivité associée à la gouvernance",,,,,"Recyclerie à l'étude, soutenue ou portée par la collectivité",,,"Recyclerie en cours de création, soutenue ou portée par la collectivité",,,"Recyclerie fonctionnelle, soutenue par la collectivité"
i144,Taux de couverture des besoins en électricité par les productions énergétiques renouvelables locales,Donnée interne,Non,%,0,100,Absolu,,0,100,,,,,,,,,,,
i145,Taux de couverture des besoins en chaleur par les productions énergétiques renouvelables locales,Donnée interne,Non,%,0,100,Absolu,,0,100,,,,,,,,,,,
i146,"Existence de capacités de back-up électriques pour certains bâtiments publics critiques (batterie, groupe électrogène, système ENR avec onduleur...)",Donnée interne,Oui,/,/,/,Absolu,,Non,"Oui, pour tous les bâtiments publics critiques",,,,,Projet à l'étude,,Oui pour certains bâtiments publics critiques,,Oui pour environ la moitié des bâtiments publics critiques,,"Oui, pour une majorité de bâtiments publics critiques"
i147,Distance à la pharmacie la plus proche,Donnée ouverte,Non,km,0,/,Mixte,,21,0,2x la valeur médiane,Meilleure valeur possible,"10,52",Médiane France 2024.,,,,,,,
i148,Distance au service d'urgence le plus proche,Donnée ouverte,Non,km,0,/,Mixte,,"38,4",0,2x la valeur médiane,Meilleure valeur possible,"19,18",Médiane France 2024.,,,,,,,
i149,Nombre d'aires de covoiturage pour 10.000 habitants,Donnée ouverte,Non,/ 10 000 hab,0,10000,Mixte,,0,2,Concerne 600+ EPCI,,,Médiane : 0 ,,,,,,,
i150,Nombre de trajets en covoiturage pour 10.000 habitants,Donnée ouverte,Non,/ 10 000 hab,0,10000,Mixte,,0,1036,Concerne une 20aine d'EPCI,2x la médiane : 1036,,Médiane : 518,,,,,,,
i151,Durée moyenne de déplacement par jour et par personne,Donnée ouverte,Non,Min./jour/personne,0,/,Absolu,,90,30,"Soit 1,5x la moyenne nationale.","Soit 0,5x la moyenne nationale",,"La durée moyenne est d'environ 60' (59' selon Insee, 1h02 selon SDES)",,,,,,,
i152,Nombre d'ateliers de réparation vélo pour 1000 hab,Donnée interne,Non,/ 100 000 hab,0,1000,Absolu,,0,1,,Proposition à affiner,,,,,,,,,
i153,Part des communes disposant d'un registre tenu à jour des personnes vulnérables,Donnée interne,Non,%,0,100,Absolu,,0,100,,,,,,,,,,,
i154,Existence d'un PiCS à jour et mis en oeuvre,Donnée interne,Oui,/,/,/,Absolu,,Non,"Oui, à jour et mis en oeuvre",,,,,Non mais en cours d'élaboration,"Oui, mais pas à jour et non mis en oeuvre","Oui, à jour mais pas ou peu mis en oeuvre ;",,"Oui, mis en oeuvre mais plus à jour",,"Oui, mis en oeuvre et en cours de révision"
i155,Part des risques majeurs Georisques bénéficiant d'une fiche-action dans le PiCS,Donnée interne,Non,%,0,100,Absolu,,0,100,,,,,,,,,,,
i156,Nombre de sites SEVESO sur le territoire,Donnée ouverte,Non,Nombre,0,/,Mixte,,2,0,,meilleure valeur possible,"100,00 %","1300 etablissements Seveso, soit 1 site par EPCI en moyenne. ",,,,,,,
i157,Nombre de licenciés sportifs pour 100 habitants,Donnée ouverte,Non,/ 100 hab,0,100,Mixte,,0,"44,2",Pire valeur possible,2x la valeur médiane,"2210,00 %",Médiane France 2022,,,,,,,
i158,Nombre d'arrêtés de catastrophes naturelles publiés au JO rapporté à la superficie du territoire,Donnée ouverte,Non, / km2,0,/,Mixte,,"0,92",0,2x la valeur médiane,valeur absolue : 0,"0,46",Médiane France 2022,,,,,,,
i159,"Existence de moyens de communication autonomes pour la gestion de crise (radio, talkie-walkie, téléphone satellite...)",Donnée interne,Oui,/,/,/,Absolu,,Non,Oui de façon systématique,,,,,En cours de mise en place,Oui pour quelques acteurs de la gestion de crise,,,,Oui pour la plupart des acteurs de la gestion de crise,
i160,Engagement du territoire dans le programme “Territoire Engagé Transition Ecologique (TETE) et niveau de labellisation,Donnée interne,Oui,/,/,/,Absolu,,Non,"Oui, 5 étoiles",,,,,Oui sans étoile,"Oui 1, étoile",,"Oui, 2 étoiles",,"Oui, 3 étoiles","Oui, 4 étoiles"
i161,Indice de vieillissement (nombre de plus de 65 ans pour 100 jeunes de moins de 20 ans),Donnée ouverte,Non,/,0,/,Absolu,,120,70,vieillissement fort – enjeux sociaux/éco potentiellement sévères,structure de population relativement jeune,99,Médiane France  ,,,,,,,
i162,Taux de suicides,Donnée ouverte,Non,/100 000 hab,0,50,Mixte,,28,0,2x la médiane,Valeur cible absolue,14,Médiane à l'échelle des départements,,,,,,,
i163,Réalisation d'au moins une action de sensibilisation des citoyens à la culture du risque par commune et par an,Donnée interne,Oui,/,/,/,Mixte,,Non ,Oui,,,,,,"Oui, une minorité de communes",,"Oui, sur environ la moitié des communes",,"Oui, sur une majorité des communes",
i164,"Part de la population en emploi précaire
",Donnée ouverte,Non,%,0,100,Mixte,,"30,6",0,2x la médiane,Valeur-cible absolue,"15,3",Médiane France,,,,,,,
